region,date,value
Chatham-Kent Health Unit,2020-03-12,0
Chatham-Kent Health Unit,2020-03-13,0
Chatham-Kent Health Unit,2020-03-14,0
Chatham-Kent Health Unit,2020-03-15,0
Chatham-Kent Health Unit,2020-03-16,0
Chatham-Kent Health Unit,2020-03-17,0
Chatham-Kent Health Unit,2020-03-18,2
Chatham-Kent Health Unit,2020-03-19,0
Chatham-Kent Health Unit,2020-03-20,0
Chatham-Kent Health Unit,2020-03-21,0
Chatham-Kent Health Unit,2020-03-22,0
Chatham-Kent Health Unit,2020-03-23,0
Chatham-Kent Health Unit,2020-03-24,0
Chatham-Kent Health Unit,2020-03-25,0
Chatham-Kent Health Unit,2020-03-26,0
Chatham-Kent Health Unit,2020-03-27,2
Chatham-Kent Health Unit,2020-03-28,2
Chatham-Kent Health Unit,2020-03-29,0
Chatham-Kent Health Unit,2020-03-30,0
Chatham-Kent Health Unit,2020-03-31,0
Chatham-Kent Health Unit,2020-04-01,2
Chatham-Kent Health Unit,2020-04-02,1
Chatham-Kent Health Unit,2020-04-03,2
Chatham-Kent Health Unit,2020-04-04,1
Chatham-Kent Health Unit,2020-04-05,0
Chatham-Kent Health Unit,2020-04-06,4
Chatham-Kent Health Unit,2020-04-07,1
Chatham-Kent Health Unit,2020-04-08,0
Chatham-Kent Health Unit,2020-04-09,1
Chatham-Kent Health Unit,2020-04-10,0
Chatham-Kent Health Unit,2020-04-11,1
City of Toronto Health Unit,2020-02-29,0
City of Toronto Health Unit,2020-03-01,1
City of Toronto Health Unit,2020-03-02,0
City of Toronto Health Unit,2020-03-03,3
City of Toronto Health Unit,2020-03-04,0
City of Toronto Health Unit,2020-03-05,1
City of Toronto Health Unit,2020-03-06,3
City of Toronto Health Unit,2020-03-07,0
City of Toronto Health Unit,2020-03-08,3
City of Toronto Health Unit,2020-03-09,2
City of Toronto Health Unit,2020-03-10,1
City of Toronto Health Unit,2020-03-11,2
City of Toronto Health Unit,2020-03-12,8
City of Toronto Health Unit,2020-03-13,12
City of Toronto Health Unit,2020-03-14,9
City of Toronto Health Unit,2020-03-15,14
City of Toronto Health Unit,2020-03-16,11
City of Toronto Health Unit,2020-03-17,0
City of Toronto Health Unit,2020-03-18,3
City of Toronto Health Unit,2020-03-19,16
City of Toronto Health Unit,2020-03-20,17
City of Toronto Health Unit,2020-03-21,33
City of Toronto Health Unit,2020-03-22,26
City of Toronto Health Unit,2020-03-23,15
City of Toronto Health Unit,2020-03-24,19
City of Toronto Health Unit,2020-03-25,25
City of Toronto Health Unit,2020-03-26,33
City of Toronto Health Unit,2020-03-27,55
City of Toronto Health Unit,2020-03-28,71
City of Toronto Health Unit,2020-03-29,80
City of Toronto Health Unit,2020-03-30,71
City of Toronto Health Unit,2020-03-31,112
City of Toronto Health Unit,2020-04-01,165
City of Toronto Health Unit,2020-04-02,79
City of Toronto Health Unit,2020-04-03,89
City of Toronto Health Unit,2020-04-04,40
City of Toronto Health Unit,2020-04-05,206
City of Toronto Health Unit,2020-04-06,69
City of Toronto Health Unit,2020-04-07,148
City of Toronto Health Unit,2020-04-08,121
City of Toronto Health Unit,2020-04-09,199
City of Toronto Health Unit,2020-04-10,122
City of Toronto Health Unit,2020-04-11,174
Middlesex-London Health Unit,2020-02-29,0
Middlesex-London Health Unit,2020-03-01,0
Middlesex-London Health Unit,2020-03-02,0
Middlesex-London Health Unit,2020-03-03,0
Middlesex-London Health Unit,2020-03-04,0
Middlesex-London Health Unit,2020-03-05,0
Middlesex-London Health Unit,2020-03-06,0
Middlesex-London Health Unit,2020-03-07,0
Middlesex-London Health Unit,2020-03-08,0
Middlesex-London Health Unit,2020-03-09,0
Middlesex-London Health Unit,2020-03-10,0
Middlesex-London Health Unit,2020-03-11,0
Middlesex-London Health Unit,2020-03-12,0
Middlesex-London Health Unit,2020-03-13,0
Middlesex-London Health Unit,2020-03-14,1
Middlesex-London Health Unit,2020-03-15,0
Middlesex-London Health Unit,2020-03-16,0
Middlesex-London Health Unit,2020-03-17,2
Middlesex-London Health Unit,2020-03-18,1
Middlesex-London Health Unit,2020-03-19,0
Middlesex-London Health Unit,2020-03-20,6
Middlesex-London Health Unit,2020-03-21,1
Middlesex-London Health Unit,2020-03-22,0
Middlesex-London Health Unit,2020-03-23,2
Middlesex-London Health Unit,2020-03-24,0
Middlesex-London Health Unit,2020-03-25,2
Middlesex-London Health Unit,2020-03-26,6
Middlesex-London Health Unit,2020-03-27,2
Middlesex-London Health Unit,2020-03-28,2
Middlesex-London Health Unit,2020-03-29,5
Middlesex-London Health Unit,2020-03-30,6
Middlesex-London Health Unit,2020-03-31,0
Middlesex-London Health Unit,2020-04-01,29
Middlesex-London Health Unit,2020-04-02,13
Middlesex-London Health Unit,2020-04-03,13
Middlesex-London Health Unit,2020-04-04,21
Middlesex-London Health Unit,2020-04-05,21
Middlesex-London Health Unit,2020-04-06,2
Middlesex-London Health Unit,2020-04-07,14
Middlesex-London Health Unit,2020-04-08,12
Middlesex-London Health Unit,2020-04-09,8
Middlesex-London Health Unit,2020-04-10,13
Middlesex-London Health Unit,2020-04-11,14
Huron County Health Unit,2020-02-29,0
Huron County Health Unit,2020-03-01,0
Huron County Health Unit,2020-03-02,0
Huron County Health Unit,2020-03-03,0
Huron County Health Unit,2020-03-04,0
Huron County Health Unit,2020-03-05,0
Huron County Health Unit,2020-03-06,0
Huron County Health Unit,2020-03-07,0
Huron County Health Unit,2020-03-08,0
Huron County Health Unit,2020-03-09,0
Huron County Health Unit,2020-03-10,0
Huron County Health Unit,2020-03-11,0
Huron County Health Unit,2020-03-12,0
Huron County Health Unit,2020-03-13,0
Huron County Health Unit,2020-03-14,1
Huron County Health Unit,2020-03-15,0
Huron County Health Unit,2020-03-16,0
Huron County Health Unit,2020-03-17,0
Huron County Health Unit,2020-03-18,1
Huron County Health Unit,2020-03-19,0
Huron County Health Unit,2020-03-20,0
Huron County Health Unit,2020-03-21,0
Huron County Health Unit,2020-03-22,0
Huron County Health Unit,2020-03-23,0
Huron County Health Unit,2020-03-24,0
Huron County Health Unit,2020-03-25,0
Huron County Health Unit,2020-03-26,0
Huron County Health Unit,2020-03-27,0
Huron County Health Unit,2020-03-28,3
Huron County Health Unit,2020-03-29,4
Huron County Health Unit,2020-03-30,0
Huron County Health Unit,2020-03-31,0
Huron County Health Unit,2020-04-01,5
Huron County Health Unit,2020-04-02,2
Huron County Health Unit,2020-04-03,1
Huron County Health Unit,2020-04-04,0
Huron County Health Unit,2020-04-05,0
Huron County Health Unit,2020-04-06,3
Huron County Health Unit,2020-04-07,3
Huron County Health Unit,2020-04-08,1
Huron County Health Unit,2020-04-09,4
Huron County Health Unit,2020-04-10,2
Huron County Health Unit,2020-04-11,1
Southwestern,2020-02-29,0
Southwestern,2020-03-01,0
Southwestern,2020-03-02,0
Southwestern,2020-03-03,0
Southwestern,2020-03-04,0
Southwestern,2020-03-05,0
Southwestern,2020-03-06,0
Southwestern,2020-03-07,0
Southwestern,2020-03-08,0
Southwestern,2020-03-09,0
Southwestern,2020-03-10,0
Southwestern,2020-03-11,0
Southwestern,2020-03-12,0
Southwestern,2020-03-13,0
Southwestern,2020-03-14,0
Southwestern,2020-03-15,0
Southwestern,2020-03-16,0
Southwestern,2020-03-17,0
Southwestern,2020-03-18,0
Southwestern,2020-03-19,0
Southwestern,2020-03-20,0
Southwestern,2020-03-21,0
Southwestern,2020-03-22,1
Southwestern,2020-03-23,0
Southwestern,2020-03-24,0
Southwestern,2020-03-25,0
Southwestern,2020-03-26,3
Southwestern,2020-03-27,1
Southwestern,2020-03-28,3
Southwestern,2020-03-29,0
Southwestern,2020-03-30,2
Southwestern,2020-03-31,0
Southwestern,2020-04-01,5
Southwestern,2020-04-02,3
Southwestern,2020-04-03,2
Southwestern,2020-04-04,1
Southwestern,2020-04-05,0
Southwestern,2020-04-06,1
Southwestern,2020-04-07,2
Southwestern,2020-04-08,3
Southwestern,2020-04-09,0
Southwestern,2020-04-10,2
Southwestern,2020-04-11,3
Waterloo Health Unit,2020-02-29,0
Waterloo Health Unit,2020-03-01,0
Waterloo Health Unit,2020-03-02,0
Waterloo Health Unit,2020-03-03,0
Waterloo Health Unit,2020-03-04,0
Waterloo Health Unit,2020-03-05,1
Waterloo Health Unit,2020-03-06,0
Waterloo Health Unit,2020-03-07,0
Waterloo Health Unit,2020-03-08,0
Waterloo Health Unit,2020-03-09,0
Waterloo Health Unit,2020-03-10,0
Waterloo Health Unit,2020-03-11,0
Waterloo Health Unit,2020-03-12,2
Waterloo Health Unit,2020-03-13,1
Waterloo Health Unit,2020-03-14,2
Waterloo Health Unit,2020-03-15,2
Waterloo Health Unit,2020-03-16,0
Waterloo Health Unit,2020-03-17,0
Waterloo Health Unit,2020-03-18,2
Waterloo Health Unit,2020-03-19,1
Waterloo Health Unit,2020-03-20,4
Waterloo Health Unit,2020-03-21,0
Waterloo Health Unit,2020-03-22,1
Waterloo Health Unit,2020-03-23,16
Waterloo Health Unit,2020-03-24,10
Waterloo Health Unit,2020-03-25,0
Waterloo Health Unit,2020-03-26,17
Waterloo Health Unit,2020-03-27,10
Waterloo Health Unit,2020-03-28,0
Waterloo Health Unit,2020-03-29,0
Waterloo Health Unit,2020-03-30,34
Waterloo Health Unit,2020-03-31,0
Waterloo Health Unit,2020-04-01,14
Waterloo Health Unit,2020-04-02,12
Waterloo Health Unit,2020-04-03,19
Waterloo Health Unit,2020-04-04,10
Waterloo Health Unit,2020-04-05,14
Waterloo Health Unit,2020-04-06,13
Waterloo Health Unit,2020-04-07,22
Waterloo Health Unit,2020-04-08,13
Waterloo Health Unit,2020-04-09,17
Waterloo Health Unit,2020-04-10,5
Waterloo Health Unit,2020-04-11,19
Halton Regional Health Unit,2020-02-29,0
Halton Regional Health Unit,2020-03-01,0
Halton Regional Health Unit,2020-03-02,0
Halton Regional Health Unit,2020-03-03,0
Halton Regional Health Unit,2020-03-04,0
Halton Regional Health Unit,2020-03-05,0
Halton Regional Health Unit,2020-03-06,0
Halton Regional Health Unit,2020-03-07,0
Halton Regional Health Unit,2020-03-08,0
Halton Regional Health Unit,2020-03-09,0
Halton Regional Health Unit,2020-03-10,0
Halton Regional Health Unit,2020-03-11,1
Halton Regional Health Unit,2020-03-12,1
Halton Regional Health Unit,2020-03-13,0
Halton Regional Health Unit,2020-03-14,1
Halton Regional Health Unit,2020-03-15,0
Halton Regional Health Unit,2020-03-16,1
Halton Regional Health Unit,2020-03-17,0
Halton Regional Health Unit,2020-03-18,4
Halton Regional Health Unit,2020-03-19,3
Halton Regional Health Unit,2020-03-20,0
Halton Regional Health Unit,2020-03-21,0
Halton Regional Health Unit,2020-03-22,0
Halton Regional Health Unit,2020-03-23,2
Halton Regional Health Unit,2020-03-24,1
Halton Regional Health Unit,2020-03-25,4
Halton Regional Health Unit,2020-03-26,1
Halton Regional Health Unit,2020-03-27,0
Halton Regional Health Unit,2020-03-28,2
Halton Regional Health Unit,2020-03-29,4
Halton Regional Health Unit,2020-03-30,11
Halton Regional Health Unit,2020-03-31,0
Halton Regional Health Unit,2020-04-01,38
Halton Regional Health Unit,2020-04-02,7
Halton Regional Health Unit,2020-04-03,19
Halton Regional Health Unit,2020-04-04,31
Halton Regional Health Unit,2020-04-05,11
Halton Regional Health Unit,2020-04-06,13
Halton Regional Health Unit,2020-04-07,14
Halton Regional Health Unit,2020-04-08,59
Halton Regional Health Unit,2020-04-09,21
Halton Regional Health Unit,2020-04-10,12
Halton Regional Health Unit,2020-04-11,8
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-02-29,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-01,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-02,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-03,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-04,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-05,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-06,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-07,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-08,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-09,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-10,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-11,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-12,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-13,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-14,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-15,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-16,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-17,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-18,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-19,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-20,5
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-21,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-22,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-23,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-24,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-25,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-26,15
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-27,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-28,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-29,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-30,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-03-31,14
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-01,22
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-02,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-03,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-04,3
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-05,0
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-06,29
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-07,2
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-08,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-09,9
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-10,1
"Haliburton, Kawartha, Pine Ridge District Health Unit",2020-04-11,11
Northwestern Health Unit,2020-02-29,0
Northwestern Health Unit,2020-03-01,0
Northwestern Health Unit,2020-03-02,0
Northwestern Health Unit,2020-03-03,0
Northwestern Health Unit,2020-03-04,0
Northwestern Health Unit,2020-03-05,0
Northwestern Health Unit,2020-03-06,0
Northwestern Health Unit,2020-03-07,0
Northwestern Health Unit,2020-03-08,0
Northwestern Health Unit,2020-03-09,0
Northwestern Health Unit,2020-03-10,0
Northwestern Health Unit,2020-03-11,0
Northwestern Health Unit,2020-03-12,0
Northwestern Health Unit,2020-03-13,0
Northwestern Health Unit,2020-03-14,1
Northwestern Health Unit,2020-03-15,0
Northwestern Health Unit,2020-03-16,0
Northwestern Health Unit,2020-03-17,0
Northwestern Health Unit,2020-03-18,0
Northwestern Health Unit,2020-03-19,0
Northwestern Health Unit,2020-03-20,0
Northwestern Health Unit,2020-03-21,0
Northwestern Health Unit,2020-03-22,0
Northwestern Health Unit,2020-03-23,0
Northwestern Health Unit,2020-03-24,0
Northwestern Health Unit,2020-03-25,0
Northwestern Health Unit,2020-03-26,1
Northwestern Health Unit,2020-03-27,1
Northwestern Health Unit,2020-03-28,0
Northwestern Health Unit,2020-03-29,0
Northwestern Health Unit,2020-03-30,0
Northwestern Health Unit,2020-03-31,0
Northwestern Health Unit,2020-04-01,0
Northwestern Health Unit,2020-04-02,2
Northwestern Health Unit,2020-04-03,0
Northwestern Health Unit,2020-04-04,0
Northwestern Health Unit,2020-04-05,0
Northwestern Health Unit,2020-04-06,2
Northwestern Health Unit,2020-04-07,0
Northwestern Health Unit,2020-04-08,0
Northwestern Health Unit,2020-04-09,3
Northwestern Health Unit,2020-04-10,0
Northwestern Health Unit,2020-04-11,0
Durham Regional Health Unit,2020-02-29,2
Durham Regional Health Unit,2020-03-01,0
Durham Regional Health Unit,2020-03-02,0
Durham Regional Health Unit,2020-03-03,0
Durham Regional Health Unit,2020-03-04,0
Durham Regional Health Unit,2020-03-05,0
Durham Regional Health Unit,2020-03-06,0
Durham Regional Health Unit,2020-03-07,0
Durham Regional Health Unit,2020-03-08,0
Durham Regional Health Unit,2020-03-09,0
Durham Regional Health Unit,2020-03-10,0
Durham Regional Health Unit,2020-03-11,0
Durham Regional Health Unit,2020-03-12,0
Durham Regional Health Unit,2020-03-13,0
Durham Regional Health Unit,2020-03-14,3
Durham Regional Health Unit,2020-03-15,2
Durham Regional Health Unit,2020-03-16,1
Durham Regional Health Unit,2020-03-17,0
Durham Regional Health Unit,2020-03-18,0
Durham Regional Health Unit,2020-03-19,4
Durham Regional Health Unit,2020-03-20,11
Durham Regional Health Unit,2020-03-21,4
Durham Regional Health Unit,2020-03-22,2
Durham Regional Health Unit,2020-03-23,6
Durham Regional Health Unit,2020-03-24,9
Durham Regional Health Unit,2020-03-25,9
Durham Regional Health Unit,2020-03-26,5
Durham Regional Health Unit,2020-03-27,10
Durham Regional Health Unit,2020-03-28,10
Durham Regional Health Unit,2020-03-29,10
Durham Regional Health Unit,2020-03-30,11
Durham Regional Health Unit,2020-03-31,12
Durham Regional Health Unit,2020-04-01,39
Durham Regional Health Unit,2020-04-02,23
Durham Regional Health Unit,2020-04-03,10
Durham Regional Health Unit,2020-04-04,38
Durham Regional Health Unit,2020-04-05,11
Durham Regional Health Unit,2020-04-06,11
Durham Regional Health Unit,2020-04-07,23
Durham Regional Health Unit,2020-04-08,11
Durham Regional Health Unit,2020-04-09,22
Durham Regional Health Unit,2020-04-10,19
Durham Regional Health Unit,2020-04-11,16
Windsor-Essex County Health Unit,2020-02-29,0
Windsor-Essex County Health Unit,2020-03-01,0
Windsor-Essex County Health Unit,2020-03-02,0
Windsor-Essex County Health Unit,2020-03-03,0
Windsor-Essex County Health Unit,2020-03-04,0
Windsor-Essex County Health Unit,2020-03-05,0
Windsor-Essex County Health Unit,2020-03-06,0
Windsor-Essex County Health Unit,2020-03-07,0
Windsor-Essex County Health Unit,2020-03-08,0
Windsor-Essex County Health Unit,2020-03-09,0
Windsor-Essex County Health Unit,2020-03-10,0
Windsor-Essex County Health Unit,2020-03-11,0
Windsor-Essex County Health Unit,2020-03-12,0
Windsor-Essex County Health Unit,2020-03-13,0
Windsor-Essex County Health Unit,2020-03-14,0
Windsor-Essex County Health Unit,2020-03-15,0
Windsor-Essex County Health Unit,2020-03-16,0
Windsor-Essex County Health Unit,2020-03-17,0
Windsor-Essex County Health Unit,2020-03-18,0
Windsor-Essex County Health Unit,2020-03-19,0
Windsor-Essex County Health Unit,2020-03-20,0
Windsor-Essex County Health Unit,2020-03-21,1
Windsor-Essex County Health Unit,2020-03-22,1
Windsor-Essex County Health Unit,2020-03-23,0
Windsor-Essex County Health Unit,2020-03-24,1
Windsor-Essex County Health Unit,2020-03-25,2
Windsor-Essex County Health Unit,2020-03-26,1
Windsor-Essex County Health Unit,2020-03-27,3
Windsor-Essex County Health Unit,2020-03-28,6
Windsor-Essex County Health Unit,2020-03-29,10
Windsor-Essex County Health Unit,2020-03-30,19
Windsor-Essex County Health Unit,2020-03-31,0
Windsor-Essex County Health Unit,2020-04-01,48
Windsor-Essex County Health Unit,2020-04-02,36
Windsor-Essex County Health Unit,2020-04-03,13
Windsor-Essex County Health Unit,2020-04-04,19
Windsor-Essex County Health Unit,2020-04-05,24
Windsor-Essex County Health Unit,2020-04-06,20
Windsor-Essex County Health Unit,2020-04-07,23
Windsor-Essex County Health Unit,2020-04-08,17
Windsor-Essex County Health Unit,2020-04-09,18
Windsor-Essex County Health Unit,2020-04-10,28
Windsor-Essex County Health Unit,2020-04-11,9
City of Hamilton Health Unit,2020-02-29,0
City of Hamilton Health Unit,2020-03-01,0
City of Hamilton Health Unit,2020-03-02,0
City of Hamilton Health Unit,2020-03-03,0
City of Hamilton Health Unit,2020-03-04,0
City of Hamilton Health Unit,2020-03-05,0
City of Hamilton Health Unit,2020-03-06,0
City of Hamilton Health Unit,2020-03-07,0
City of Hamilton Health Unit,2020-03-08,0
City of Hamilton Health Unit,2020-03-09,0
City of Hamilton Health Unit,2020-03-10,0
City of Hamilton Health Unit,2020-03-11,0
City of Hamilton Health Unit,2020-03-12,1
City of Hamilton Health Unit,2020-03-13,0
City of Hamilton Health Unit,2020-03-14,1
City of Hamilton Health Unit,2020-03-15,3
City of Hamilton Health Unit,2020-03-16,4
City of Hamilton Health Unit,2020-03-17,5
City of Hamilton Health Unit,2020-03-18,2
City of Hamilton Health Unit,2020-03-19,2
City of Hamilton Health Unit,2020-03-20,2
City of Hamilton Health Unit,2020-03-21,4
City of Hamilton Health Unit,2020-03-22,5
City of Hamilton Health Unit,2020-03-23,3
City of Hamilton Health Unit,2020-03-24,3
City of Hamilton Health Unit,2020-03-25,4
City of Hamilton Health Unit,2020-03-26,1
City of Hamilton Health Unit,2020-03-27,0
City of Hamilton Health Unit,2020-03-28,13
City of Hamilton Health Unit,2020-03-29,17
City of Hamilton Health Unit,2020-03-30,0
